Commodities,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24
Vanaspati (Packed),74.6,74.72,76.09,76.62,76.69,76.32,77.22,77.53,76.78,76.5,76.12,75.75,76.18,76.85,76.36,75.95,75.61,74.84,74.66,74.15,73.67,73.4,72.71,71.95,71.51,71.31,71.22,72.23,73.67,74.27,74.56,75.01,76.23,76.58,76.68,77.6,77.57,77.79,77.72,77.35,77.26,77.27,77.23,77.07,77.32,77.87,78.92,79.13,79.18,78.95,79.56,80.11,80.46,80.42,80.9,80.51,80.74,81.14,81.18,80.68,80.56,81.22,80.84,80.53,80.25,79.64,79.25,79.36,79.64,80,81.34,83.41,86.91,88.7,88.12,89.93,90.48,90.96,90.84,91.38,93.31,94.9,98.17,103.19,111.06,114.82,119.37,124.85,129.03,132.57,132.73,134.2,136.28,137.71,138.84,138.32,137.53,140.82,151.6,157.34,163.96,164.97,159.08,153.26,150.24,146.34,145.14,141.14,138.63,136.72,135,132.87,132.26,131.01,129.72,129.26,128.35,126.98,126.76,126.08,125.12,124.81,125.13,125.84,126.22,126.23,125.81,123.38,123.11
Soya Oil (Packed),84.81,84.14,84.76,85,84.16,83.88,84.49,84.26,84.26,84.02,83.9,83.36,84.3,84.73,84.91,84.94,84.24,83.4,82.77,82.57,82.48,82.6,81.25,81.77,71.51,71.31,71.22,72.23,73.67,74.27,74.56,75.01,76.23,76.58,76.68,77.6,86.3,86.45,86.17,85.27,84.77,84.11,83.86,84.08,84.41,85.21,85.43,86.61,87.48,87.76,88.42,88.8,89.29,89.23,90.01,89.8,89.81,90.08,90.65,90.84,91.21,91.64,92.08,91.84,92.23,92.31,92.06,92.01,92.57,92.51,93.15,94.03,98.35,99.36,98.06,101.07,101.38,101.04,101.78,102.2,103.97,104.91,107.31,112.62,121.11,124.9,131.11,138.78,149.39,152.59,150.82,153.32,155.14,155.02,153.26,150.59,147.58,148.09,160.05,165.66,171.37,169.7,163.94,159.02,155.34,152.7,156.64,155.31,153.54,151.02,148.21,144.91,141.1,136.84,134.37,133.35,131.11,128.57,128.24,127.97,126.85,126.65,126.83,127.7,127.36,127.1,126.23,122.55,121.84
Sunflower Oil (Packed),96.9,95.85,96.62,96.05,96.06,94.79,95.93,95.16,94.13,93.93,94.06,94.32,94.99,94.77,93.91,93.56,93.54,92.59,92.65,92.74,94.01,95.02,95.24,95.72,96.11,95.9,95.5,95.5,95.07,96.28,95.67,95.43,94.28,93.84,93.86,94.38,94.46,94.06,93.73,93.21,92.76,92.36,92.26,92.39,92.57,92.55,93.15,93.79,94.25,93.98,94.34,95.16,95.43,95.82,97.15,97.61,97.71,98.04,98.23,97.8,98.14,98.3,98.56,98.75,99.31,99.32,99.52,99.59,100.9,101.25,101.72,102.44,106.04,107.58,106.07,109.6,110.87,111.61,112.86,113.15,117.75,121.8,123.7,128.99,139.23,143.7,153.43,161.27,170.34,173.12,171.03,171.1,170.69,169.15,166.27,163.85,161.52,161.7,175.92,183.38,189.12,188.98,184.87,182.24,178.76,175.7,177.65,175.86,172.82,168.69,164.65,160.91,156.56,151.4,147.84,146.53,144.41,141.86,140.44,139.96,139.01,138.37,137.88,138.47,138.12,137.92,136.04,131.09,129.65
Palm Oil (Packed),70.8,70.72,71.98,71.97,71.38,70.56,70.53,69.34,67.49,67.79,67.15,66.25,68.08,67.14,67.5,66.55,66.85,66.86,66.21,65.16,64.42,64.11,62.54,62.56,62.57,64.11,64.77,67.4,69.94,69.67,68.71,69.79,71.33,70.66,70.15,70.73,71.27,71.41,70.76,69.63,69.63,69.3,68.69,68.9,69.7,70.59,71.72,73.01,72.95,73.45,76.08,77.77,78.26,78.22,78.34,77.85,77.06,77.27,76.77,75.87,75.8,76.39,76,75.02,75.27,74.72,74.61,75.02,76.05,75.92,78.32,82.4,88.77,89.93,87.21,89.26,88.27,88.49,89.53,91.13,94.2,94.95,98.76,105.05,112.03,113.78,119.97,124.7,132.11,132.33,129.6,131.87,132.69,132.89,131.46,129.92,128.14,131.44,146.34,149.9,155.37,151.84,142.1,137.99,129.96,123.28,122.54,120.33,118.23,115.51,115.42,114.81,113.26,110.53,109.03,108.3,107.36,105.66,104.99,104.32,103.36,103.18,104.01,105.9,105.24,104.73,104.05,102.42,102.32
Potato,18.12,15.27,15.98,18.08,20.38,21.58,24.19,26.88,28.47,29.29,29.81,24.16,18.98,17.53,15.72,14.25,13.79,15.06,15.78,15.75,15.84,16.83,17.68,16.73,15.19,14.92,15.32,16.55,19.01,21.24,22.63,22.65,22.1,21.38,20.53,17.1,14.66,13.97,13.54,13.64,13.9,14.53,15.34,15.82,15.68,15.91,16.11,15.9,14.74,14.56,15.24,16.6,18.74,20.29,21.51,21.6,21.59,22,22.05,19.41,16.93,16.13,15.35,15.96,16.98,18.2,19.09,19.03,18.9,20.57,22.83,25.35,26.83,23.28,23.06,26.43,25.82,27.16,30.59,33.25,36.7,39.53,44.59,37.63,25.95,20.37,18.49,18.09,18.78,20.17,20.62,20.48,20.31,21.9,26.18,23.69,21.48,20.35,20.57,20.88,22.73,24.99,26.48,27.41,27.85,28.47,28.82,25.96,23.21,20.86,19.13,19.13,20.46,21.63,23.65,24.29,24.32,24.42,24.95,24.01,22.67,22.01,23.35,26.45,28.95,31.61,36.65,37.21,36.58
Onion,22.45,18.46,17.22,17.43,18.69,20.82,28.22,28.45,26.86,25.69,25.63,25.33,24.76,24.94,24.14,22.01,22.07,24.85,28.61,44.87,54.14,45.04,36.74,28.19,22.66,19.62,17.16,16.4,15.68,15.77,16.64,16.6,15.65,15.27,15.97,15.53,14.84,14.61,14.52,14.36,14.07,14.56,15.04,26.02,26.58,30.11,39.07,43.44,42.69,35.12,26.18,19.28,16.72,17.78,21.02,21.6,20.6,21.41,22.02,19.36,18.03,16.48,15.87,16.25,16.96,19.04,21.11,24.82,38.3,47.02,61.08,94.95,64.23,38.65,31.2,28.02,21.66,20.62,21.53,22.63,31.58,50.2,59.26,44.33,38.59,44.08,34.2,23.89,23.64,26.99,29.13,29.35,28.49,37.41,39.94,35.28,34.56,35.16,32.1,25.78,23.44,23.98,25.36,25.55,25.83,27.8,30.9,27.57,26.97,25.41,23.27,22.3,21.97,22.9,26.51,29.86,33.38,37.26,58.99,50.95,37.95,32.79,32.66,31.47,31.46,36.33,43.72,45.03,49.04
Tomato,20.25,15.68,15.83,17.39,18.42,18.04,35.3,50.17,36.87,30.19,24,23.03,23.04,20.86,20.42,20.36,25.62,25.63,28.89,25.35,25.29,28.47,38.79,30.57,27.99,19.92,16.83,18.84,26.73,40.17,40.67,29.61,24.55,25.37,21.45,16.8,14.67,15.62,16.66,17.35,16.86,21.44,57.29,59.91,40.85,36.99,47.12,36.88,22.93,18.73,16.86,15.87,16.02,21.43,28.57,27.96,24.48,23.45,23.47,21.76,22.98,19.95,21.84,25.89,32.57,35.89,37.31,38.71,31.2,38.59,38.38,28.95,26.4,22.27,21.25,22.37,19.46,24.46,48.18,45.77,51.84,45.42,41.19,34.81,25.14,23.58,19.07,18.57,18.32,21.27,26.8,30.06,27.99,43.05,58.32,53.62,35.4,26.63,23.36,26.73,43.16,52.03,39.44,34.09,41.21,46.25,38.39,29.58,24.72,23.45,23.32,23.16,23.61,32.58,109.5,102.02,38.81,29.3,39.48,38.38,32.43,32.32,31.67,32.4,32.72,42.23,65.65,50.34,44.22
Sugar,34.76,34.28,34.62,35.79,36.2,36.12,36.47,36.37,36.14,35.87,35.63,34.8,39.98,40.66,40.18,39.64,40.52,40.84,40.8,40.11,40.23,40.5,40.61,40.12,33.15,33.92,34.64,37.4,39.23,39.5,39.78,40.59,40.51,40.63,40.76,40.68,41.14,41.83,42.38,42.43,42.57,42.52,42.75,43.11,43.48,43.36,43.32,42.5,41.37,40.74,40.35,39.01,36.88,37.41,38.79,38.8,38.52,38.58,38.44,38.13,38.25,38.13,38.14,37.96,38.34,38.59,38.56,38.68,39.16,39.41,39.5,39.21,39.3,39.26,39.05,40.09,39.85,39.72,40.2,40.21,40.36,40.19,40.03,39.9,39.77,39.34,39.29,39.47,39.85,39.7,39.5,40.02,41.44,42.3,42.44,41.95,41.43,41.14,41.07,41.1,41.44,41.67,41.64,41.91,42.44,42.51,42.61,42.2,41.83,41.72,41.61,41.92,42.38,42.72,42.99,43.18,43.57,43.96,44.62,44.68,44.53,44.42,44.28,44.33,44.57,44.79,44.87,44.82,44.73
Gur,40.23,39.58,39.11,39.2,39.74,40.62,40.97,41.27,42.03,42.76,42.01,40.37,39.98,40.66,40.18,39.64,40.52,40.84,40.8,40.11,40.23,40.5,40.61,40.12,39.65,39.49,39.25,40.08,40.98,41.72,42.43,43.62,44.41,44.2,43.49,43.14,42.8,42.88,43.17,43.38,44.24,44.81,45.26,45.43,46.07,46.53,46.5,45.24,44.88,44.17,43.26,42.45,42.21,42.58,42.99,42.95,42.96,43.36,43.1,42.38,42.39,42.39,42.78,42.72,43.41,44.42,44.03,44.56,45.17,46.16,46.8,46.15,46.48,46.4,45.62,47.07,47.93,47.86,48.36,49.24,49.46,49.34,48.95,47.87,47.94,47.78,47.04,46.43,46.24,46.84,47.19,47.19,47.47,48.31,49.46,48.98,48.38,48.39,48,47.97,48.28,48.44,48.59,49.45,50.66,50.98,51.11,49.32,48.44,48.2,48.34,48.7,49.28,50.36,51.28,51.9,52.75,53.11,53.14,52.59,52.6,52.61,52.48,52.68,53.2,54.02,54.86,54.87,54.6
Milk,35.28,35.22,35.61,36.33,36.45,36.72,37.22,37.69,37.39,37.6,38.22,38.33,38.78,38.75,38.77,38.62,26.65,39.22,39.45,39.38,39.54,39.4,38.86,39.37,39.58,39.69,39.53,39.47,39.75,40.26,40.37,40.12,40.04,40.1,40.16,40.2,40.56,40.45,40.92,41.24,41.56,41.58,41.81,42.09,42.12,42.04,42.22,42.14,42.17,42.08,41.92,42.02,42.19,42.39,42.71,42.61,42.39,42.54,42.16,42.5,42.68,42.76,43.38,43.24,43.47,43.27,43.41,43.5,44.47,44.87,44.97,44.92,45.21,45.36,45.58,46.27,46.72,46.88,47.11,47,46.82,46.86,47.06,47.26,47.61,48.5,48.75,48.59,48.67,48.93,48.95,49.21,49.26,49.48,49.88,49.94,50.13,50.27,50.6,51.11,51.46,51.89,52.11,52.4,53.6,54.42,55,55.45,55.77,55.98,56.33,56.7,57.04,57.48,57.78,57.97,58.21,58.36,58.38,58.34,58.44,58.47,58.56,58.67,58.71,59.03,59.23,59.19,58.78
Tea Loose,204.05,203.02,201,207.29,203.93,205.71,204.24,205.09,212.26,211.4,205.09,204.68,205.02,205.25,205.23,205.46,207.19,206.75,207.26,206.29,205.61,206.19,204.85,204.83,204.46,202.81,197.72,199.15,199.02,198.97,197.64,198.71,197.01,197.77,197.38,198.96,200.55,205.25,205.23,205.46,201.43,202.68,204.09,204.04,204.28,204,204.66,204.77,206.83,207.43,208.4,209.08,209.58,209.96,210.16,210.86,208.98,210.65,208.89,209.43,208.22,208.26,209.48,211.3,212.26,213.02,212.19,212.45,213.64,215.25,216.89,216.74,218.4,218.45,217.19,218.82,217.93,219.59,220.88,223.98,228.25,231.17,236.27,244.31,264.52,276.76,277.86,276.68,275.04,275.39,277.62,282.1,284.27,285.02,282.49,286.54,287.44,287.09,286.38,284.6,284.81,284.21,282.24,281.75,281.19,282.05,280.21,276.57,276.5,274.54,275.11,275.66,274.56,275.8,276.38,277.64,277.62,278.09,279.5,279,279.92,280.54,280.22,279.67,279.65,278.07,276.48,268.6,266.18
Salt Pack (lodised),14.05,14.02,14.1,14.32,14.44,14.49,14.61,14.75,14.81,14.86,14.91,14.83,14.88,14.72,14.72,14.85,14.75,14.63,14.76,14.85,14.9,14.9,14.91,15.03,15.19,15.01,15.04,15.23,15,15.08,14.74,14.8,14.77,14.89,15.06,15.08,15.12,15.15,14.98,14.99,15.12,15.15,15.12,15.22,15.24,15.1,15.06,15.07,15.17,15.06,15.04,15.08,15.22,15.2,15.32,15.37,15.26,15.23,15.3,15.35,15.46,15.29,15.3,15.35,15.28,15.38,15.31,15.4,15.48,15.43,15.52,15.59,15.64,15.7,15.88,16.14,16.09,16.33,16.37,16.3,16.46,16.46,16.75,17.09,17.49,17.69,17.7,17.97,17.99,18.11,17.96,18.2,18.25,18.29,18.32,18.41,18.71,18.84,19.05,19.15,19.47,19.65,19.91,20.09,20.82,21.36,21.53,21.53,21.47,21.66,21.72,21.9,21.92,21.92,22.04,22.26,22.27,22.34,22.38,22.46,22.46,22.47,22.46,22.48,22.44,22.51,22.47,22.22,21.91
